% of Total,% من الإجمالي
", {0} failed",، فشل {0}
Payment Details / بيانات الدفع,بيانات الدفع
Payment Entry,قيد الدفع
Payment failed. Please try again.,فشل الدفع. يرجى المحاولة مرة أخرى.
Payment For,الدفع مقابل
Payment Gateways,بوابات الدفع
Payment ID,معرّف الدفع
Payment initiation failed. Please try again.,فشل بدء الدفع. يرجى المحاولة مرة أخرى.
Payment Link Expiry (hours),انتهاء رابط الدفع (ساعات)
Payment Method,طريقة الدفع
Payment Method / طريقة الدفع,طريقة الدفع
Payment Period / فترة الدفع,فترة الدفع
Payment Receipt,إيصال دفع
Payment Receipts — إيصالات الدفع,إيصالات الدفع
Payment received successfully! Thank you.,تم استلام الدفع بنجاح! شكراً لك.
Payment Reconciliation,مطابقة المدفوعات
Payment Reconciliation Error,خطأ في مطابقة الدفع
Payment status: {0},حالة الدفع: {0}
Payment Success Message,رسالة نجاح الدفع
Payment Webhook Error,خطأ في إشعار الدفع
Payment window opened. Complete the payment in the new tab.,تم فتح نافذة الدفع. أكمل الدفع في التبويب الجديد.
Payment {0} completed!,تم الدفع {0}!
Payments,المدفوعات
PayPal,باي بال
Peak Hour / ساعة الذروة,ساعة الذروة
Peak Hours,ساعات الذروة
"Peak hours, cancellation rates, no-show tracking, average booking duration.",ساعات الذروة، معدلات الإلغاء، تتبع عدم الحضور، متوسط مدة الحجز.
Pending,قيد الانتظار
Pending / قيد المراجعة,قيد المراجعة
Pending Requests,طلبات معلقة
Percentage,نسبة مئوية
Period,الفترة
Period To must be after Period From,يجب أن يكون تاريخ النهاية بعد تاريخ البداية
Period Type / نوع الفترة,نوع الفترة
Permissions,الصلاحيات
Personal Information,المعلومات الشخصية
persons,أشخاص
Phone,الهاتف
Phone / الهاتف,الهاتف
Pin,تثبيت
Pin Post,تثبيت المنشور
Pinned Posts,المنشورات المثبتة
Placeholders,العناصر النائبة
Plan,الخطة
Plan / الخطة,الخطة
Plan Benefits,مزايا الخطة
Plan Name,اسم الخطة
Plan Name (Arabic),اسم الخطة (بالعربية)
Plan Pricing,تسعير الخطة
Plan Setup,إعداد الخطة
Plan Type,نوع الخطة
Plans,الخطط
Plans & Tiers,الخطط والمستويات
Platinum,بلاتيني
Please contact us to renew your membership and continue enjoying our services.,يرجى التواصل معنا لتجديد عضويتك والاستمتاع بخدماتنا.
Please enter your name first,الرجاء إدخال اسمك أولاً
Please fill in the required fields.,يرجى ملء الحقول المطلوبة.
Please link a Customer before marking as Converted,يرجى ربط عميل قبل التحويل
Please login to access the member portal,يرجى تسجيل الدخول للوصول إلى بوابة الأعضاء
Please login to access your memberships,يرجى تسجيل الدخول للوصول إلى عضوياتك
Please login to book a space,يرجى تسجيل الدخول لحجز مساحة
Please login to view your payments,يرجى تسجيل الدخول لعرض مدفوعاتك
Please login to view your profile,يرجى تسجيل الدخول لعرض ملفك الشخصي
Please register or contact us to set up your membership.,سجّل أو تواصل معنا لإعداد عضويتك.
Please renew your membership to continue enjoying our services.,يرجى تجديد عضويتك للاستمتاع بخدماتنا.
Please select a Contract Template first,يرجى اختيار نموذج العقد أولاً
Please select a different plan or billing cycle,يرجى اختيار خطة أو دورة فوترة مختلفة
Please select bookings first,يرجى تحديد الحجوزات أولاً
Points,النقاط
Popular,شائع
Popular (10+ likes),شائع (10+ إعجاب)
Popular Booking Type / نوع الحجز الأكثر شعبية,نوع الحجز الأكثر شعبية
Popular Space Type / نوع المساحة الأكثر شعبية,نوع المساحة الأكثر شعبية
Populate from Template,تعبئة من القالب
Portal Appearance,مظهر البوابة
Post,منشور
Post created successfully,تم إنشاء المنشور بنجاح
Post Type / نوع المنشور,نوع المنشور
Postal Code / الرمز البريدي,الرمز البريدي
posted,نُشر
Postponed,مؤجل
Posts,المنشورات
"Posts support likes, pinning, and comment threads to foster engagement.",المنشورات تدعم الإعجابات والتثبيت وسلاسل التعليقات لتعزيز التفاعل.
Power of Attorney / توكيل رسمي,توكيل رسمي
Powered by ARKSpace,مدعوم من ARKSpace
"Pre-register visitors, track walk-ins, and generate entry badges with QR codes.",سجّل الزوار مسبقاً وتتبع الزيارات بدون موعد وأنشئ شارات دخول برموز QR.
Pre-registered,مسجل مسبقاً
Pre-registered By,مسجل مسبقاً بواسطة
Preparing payment link...,جارٍ تحضير رابط الدفع...
Prerequisite,المتطلب
Prerequisites,المتطلبات السابقة
Prerequisites — المتطلبات المسبقة,المتطلبات المسبقة
Previous,السابق
Price Adjustment,تعديل السعر
Pricing,التسعير
Pricing by Type,التسعير حسب النوع
Pricing Rule,قاعدة التسعير
Pricing rules & contracts,قواعد التسعير والعقود
Pricing Rules — قواعد التسعير,قواعد التسعير
Primary Color,اللون الأساسي
Primary Image,الصورة الرئيسية
Primary Language,اللغة الرئيسية
Print,طباعة
Print Arabic Contract,طباعة العقد بالعربية
Print Badge,طباعة الشارة
Print Bilingual,طباعة ثنائي اللغة
Print English Contract,طباعة العقد بالإنجليزية
Print Formats,تنسيقات الطباعة
Print QR,طباعة QR
Print QR Code,طباعة رمز QR
Printing Pages / Month,صفحات الطباعة / شهر
Private Office,مكتب خاص
Private Office — مكتب خاص,مكتب خاص
Processing refund...,جارٍ معالجة الاسترداد...
Processing renewal...,جارٍ معالجة التجديد...
Processing upgrade...,جارٍ معالجة الترقية...
Proficiency Level / مستوى الإتقان,مستوى الإتقان
Profile,الملف الشخصي
Progress,التقدم
Progress %,نسبة التقدم %
Progress Tracking,تتبع التقدم
Projected,المتوقع
Promotion,عرض ترويجي
Prorated credit: {0},الرصيد النسبي: {0}
Published,منشور
Purpose,الغرض
Purpose Details,تفاصيل الغرض
Purpose of Visit,غرض الزيارة
Purpose:,الغرض:
QR Check-in,تسجيل دخول QR
QR Code,رمز QR
QR code check-in,تسجيل الدخول بـ QR
QR Code generated successfully,تم إنشاء رمز QR بنجاح
QR code generation requires 'segno' or 'qrcode' package. Install with: pip install segno,إنشاء رمز QR يتطلب مكتبة 'segno' أو 'qrcode'. قم بالتثبيت بـ: pip install segno
QR Code Self Check-in,تسجيل دخول ذاتي بـ QR
QR Generation Error,خطأ في توليد QR
QR Token,رمز التحقق
Qty,الكمية
Quarterly,ربع سنوي
Quarterly / ربع سنوي,ربع سنوي
Question,سؤال
Quick Access,وصول سريع
Quick Book — {0},حجز سريع — {0}
Quick booking,حجز سريع
Quick Links,روابط سريعة
Quick Walk-in,حضور مباشر سريع
Quick Walk-in Day Pass,تصريح حضور مباشر سريع
Rate,السعر
Rate / القيمة,القيمة
Rate Multiplier / مضاعف السعر,مضاعف السعر
Rating,التقييم
Razorpay,رازورباي
Reactivate,إعادة تفعيل
Reading Order,ترتيب القراءة
Ready to explore ARKSpace?,هل أنت مستعد لاستكشاف أرك سبيس؟
Real-time 2D floor plan with SVG overlay showing space status and occupancy.,مخطط طابق ثنائي الأبعاد مباشر مع طبقة SVG تعرض حالة المساحة والإشغال.
Real-time and historical occupancy rates with heatmaps per branch and floor.,معدلات إشغال لحظية وتاريخية مع خرائط حرارية لكل فرع وطابق.
Reason,السبب
Recalculate Capacity,إعادة حساب السعة
Receipt Date / تاريخ الإيصال,تاريخ الإيصال
Receipt Generation,إنشاء الإيصالات
Receipt Type / نوع الإيصال,نوع الإيصال
Recent Bookings,الحجوزات الأخيرة
Recent Posts,المنشورات الأخيرة
Recipients can accept or decline requests. Accepted connections appear in your network.,يمكن للمستلمين قبول أو رفض الطلبات. الاتصالات المقبولة تظهر في شبكتك.
Reference,المرجع
Reference Number / رقم المرجع,رقم المرجع
Referral,إحالة
Referral Code,رمز الإحالة
Referred,محال
Refresh,تحديث
Refund,استرداد
Refund Amount,مبلغ الاسترداد
Refund Payment,استرداد الدفع
Refund processed via {0} for {1},تم الاسترداد عبر {0} لـ {1}
Refund processed: {0},تم الاسترداد: {0}
Refunded,مسترد
Regenerate,إعادة إنشاء
Regenerate QR,إعادة توليد QR
Regenerate QR Code,إعادة إنشاء رمز QR
Register,تسجيل
Register for Event,التسجيل في الفعالية
Register Now,سجّل الآن
Registered,المسجلون
Registered successfully!,تم التسجيل بنجاح!
Registering and checking in visitor...,جارٍ تسجيل وإدخال الزائر...
Registration cancelled for {0},تم إلغاء التسجيل في {0}
Registration Closed,التسجيل مغلق
Registration Deadline / آخر موعد للتسجيل,آخر موعد للتسجيل
Registration deadline has passed,انتهى موعد التسجيل
Registration deadline must be before event start,آخر موعد للتسجيل يجب أن يكون قبل بدء الفعالية
Registration failed. Please try again or contact support.,فشل التسجيل. يرجى المحاولة مرة أخرى أو التواصل مع الدعم.
Registration Required / التسجيل مطلوب,التسجيل مطلوب
Reject,رفض
Reject Visitor,رفض الزائر
Rejected,مرفوض
Rejected / مرفوض,مرفوض
Rejected: {0},مرفوض: {0}
Related,مرتبط
Related Docs — مستندات ذات صلة,مستندات ذات صلة
Related DocType,نوع المستند المرتبط
Related Documents,المستندات المرتبطة
Related Documents / المستندات المرتبطة,المستندات المرتبطة
Related Entry,المدخل المرتبط
Relation Type,نوع العلاقة
Relations,العلاقات
Renew,تجديد
Renew Membership,تجديد العضوية
Renew Now,جدّد الآن
Renewal,تجديد
Renewed,مجدد
renewed,مجدد
Reported,مُبلّغ عنه
Reports & Analytics,التقارير والتحليلات
Reports & Analytics — التقارير والتحليلات,التقارير والتحليلات
Request declined,تم رفض الطلب
Rescheduled,أُعيد جدولته
Reserved,محجوز
Reserved Spaces / المساحات المحجوزة,المساحات المحجوزة
Respond,استجابة
Responded At / تاريخ الرد,تاريخ الرد
Results,النتائج
Retention %,نسبة الاحتفاظ %
Retention Days / أيام الاحتفاظ بالبيانات,أيام الاحتفاظ بالبيانات
Retention Rate / نسبة الاحتفاظ,نسبة الاحتفاظ
Reusable Templates,قوالب قابلة لإعادة الاستخدام
Revenue,الإيرادات
Revenue / الإيرادات,الإيرادات
Revenue by Type,الإيرادات حسب النوع
Revenue Forecast,توقعات الإيرادات
Revenue Forecasting & Analytics,التنبؤ بالإيرادات والتحليلات
Revenue Summary,ملخص الإيرادات
Revenue tracking,تتبع الإيرادات
Revenue Trend,اتجاه الإيرادات
Revenue Trends,اتجاهات الإيرادات
Reviewed By,تمت المراجعة بواسطة
Rich Content,محتوى غني
RTL Support,دعم RTL
Rule Details,تفاصيل القاعدة
Rule Name,اسم القاعدة
Rule Priority,أولوية القاعدة
Rule Type,نوع القاعدة
Rules are evaluated by priority. The first matching rule determines the final price.,تُقيّم القواعد حسب الأولوية. أول قاعدة مطابقة تحدد السعر النهائي.
Sales Invoice,فاتورة المبيعات
Sales Invoice {0} cancelled,تم إلغاء الفاتورة {0}
Sales Invoice {0} created for booking {1},تم إنشاء الفاتورة {0} للحجز {1}
Sales Invoice {0} created for membership {1},تم إنشاء الفاتورة {0} للعضوية {1}
Sat,السبت
Saturday,السبت
Save,حفظ
Scan for check-in,امسح لتسجيل الدخول
Scan to check in,امسح للتسجيل
Schedule,الجدول
Schedule and track space tours for leads.,جدوِل وتتبع جولات المساحات للعملاء المحتملين.
Schedule guided tours for prospective members. Track attendance and follow-up.,جدوِل جولات إرشادية للأعضاء المحتملين. تتبع الحضور والمتابعة.
Schedule Tour,جدولة جولة
Scheduled,مجدول
Score,الدرجة
Search,بحث
Search across all branches for available spaces,البحث عبر جميع الفروع عن المساحات المتاحة
Search members...,البحث عن أعضاء...
Seasonal,موسمي
Seat Number,رقم المقعد
Secondary Color,اللون الثانوي
Secondary Language,اللغة الثانوية
Security & Permissions — الأمان والصلاحيات,الأمان والصلاحيات
Security Deposit / التأمين,التأمين
See Also,انظر أيضاً
See how ARKSpace compares to the leading co-working management platforms.,تعرف على مقارنة أرك سبيس مع أبرز منصات إدارة مساحات العمل المشتركة.
Select a DocType,اختر نوع المستند
Select a record,اختر سجلاً
Select a Space,اختر مساحة
Select an entity and click Explore,اختر كياناً واضغط استكشاف
Select an entity to explore,اختر كياناً لاستكشافه
Select an entity type and record to explore its connections,اختر نوع الكيان والسجل لاستكشاف علاقاته
"Select space, date/time range, and member. Pricing is auto-calculated.",اختر المساحة ونطاق التاريخ/الوقت والعضو. يتم حساب التسعير تلقائياً.
Select Target Branch,اختر الفرع المستهدف
Select the types of spaces you offer.,اختر أنواع المساحات التي تقدمها.
Self-service booking,الحجز الذاتي
Send Connection Request,إرسال طلب تواصل
Send networking requests to other members based on skills and interests.,أرسل طلبات تواصل لأعضاء آخرين بناءً على المهارات والاهتمامات.
Session Date,تاريخ الجلسة
Session Notes,ملاحظات الجلسة
Session Title,عنوان الجلسة
Session {0} is full ({1}/{2}),الجلسة {0} ممتلئة ({1}/{2})
Sessions,الجلسات
"Set capacity, hourly/daily/monthly rates, and dynamic pricing rules.",حدد السعة وأسعار الساعة/اليوم/الشهر وقواعد التسعير الديناميكي.
Set module prerequisites so members progress through a structured learning path.,حدد متطلبات مسبقة للوحدات ليتقدم الأعضاء عبر مسار تعلم منظم.
"Set monthly, quarterly, or annual pricing. Link to ERPNext Item for invoicing.",حدد التسعير الشهري أو الربع سنوي أو السنوي. اربط بصنف ERPNext للفوترة.
Settings,الإعدادات
Settings & Configuration,الإعدادات والتكوين
Settings / الإعدادات,الإعدادات
Settings — الإعدادات,الإعدادات
Setup Fee,رسوم التأسيس
Setup Fee / رسوم تأسيس,رسوم تأسيس
Setup Fee Charged,تم تحصيل رسوم التأسيس
"Shared desks, private offices, meeting rooms. Hourly/daily/monthly booking with membership tiers and community events.",مكاتب مشتركة، مكاتب خاصة، غرف اجتماعات. حجز ساعي/يومي/شهري مع مستويات عضوية وفعاليات مجتمعية.
Show this QR code at the front desk,أظهر رمز QR هذا في الاستقبال
Showcase,عرض
Signatures / التوقيعات,التوقيعات
Signed Date / تاريخ التوقيع,تاريخ التوقيع
Silver,فضي
Skill Matching,مطابقة المهارات
Skill Name / اسم المهارة,اسم المهارة
Skill Profiles,ملفات المهارات
Skills,المهارات
"Skills appear in the member directory, enabling networking requests based on complementary expertise.",تظهر المهارات في دليل الأعضاء، مما يتيح طلبات التواصل بناءً على الخبرات المتكاملة.
Smart Booking (Hourly/Daily/Monthly),حجز ذكي (ساعي/يومي/شهري)
Smart Co-Working Space Management,إدارة ذكية لمساحات العمل المشتركة
Snapshot already exists for {0} - {1},اللقطة موجودة بالفعل لـ {0} - {1}
Snapshot Date / تاريخ اللقطة,تاريخ اللقطة
Snapshot ID / معرف اللقطة,معرف اللقطة
Social,اجتماعي
Social Media,وسائل التواصل
Source,المصدر
source_text,translated_text
Space,المساحة
Space / المساحة,المساحة
Space / الوحدة,الوحدة
Space Amenities — مرافق المساحة,مرافق المساحة
Space Booking,حجز مساحة
Space Explorer,مستكشف المساحات
Space Images — صور المساحة,صور المساحة
Space maintenance,صيانة المساحات
Space Name,اسم المساحة
Space Number,رقم المساحة
Space Occupancy,إشغال المساحات
Space status monitoring,مراقبة حالة المساحات
Space Type,نوع المساحة
Space Type / نوع الوحدة,نوع الوحدة
Space Types,أنواع المساحات
"Space Types categorize your physical resources — Hot Desk, Private Office, Meeting Room, Event Hall, Studio, etc.",أنواع المساحات تصنّف مواردك المادية — مكتب مشترك، مكتب خاص، غرفة اجتماعات، قاعة فعاليات، استوديو، إلخ.
Space Types — أنواع المساحات,أنواع المساحات
Space Utilization,استخدام المساحات
Space {0} is already booked for this time period (Booking: {1}),المساحة {0} محجوزة بالفعل لهذه الفترة (الحجز: {1})
Spaces,المساحات
Spaces & Bookings,المساحات والحجوزات
Spaces Overview / نظرة عامة على المساحات,نظرة عامة على المساحات
Spaces to Show,المساحات للعرض
Spaces to Show (comma-separated names),المساحات للعرض (أسماء مفصولة بفواصل)
Spaces — المساحات,المساحات
Special,خاص
Specific Space,مساحة محددة
"Specify included booking hours, locker access, event invites, and printing credits per plan.",حدد ساعات الحجز المتضمنة والوصول للخزائن ودعوات الفعاليات وأرصدة الطباعة لكل خطة.
Stackable,قابل للتراكم
Stacking,التراكم
Stacking Group,مجموعة التراكم
Staff scheduling,جدولة الموظفين
Stakeholders — أصحاب المصلحة,أصحاب المصلحة
Start,البداية
Start a trial membership and experience full benefits,ابدأ عضوية تجريبية واستمتع بكامل المزايا
Start by creating events and encouraging members to connect!,ابدأ بإنشاء فعاليات وتشجيع الأعضاء على التواصل!
Start Date,تاريخ البداية
Start Date & Time / تاريخ ووقت البدء,تاريخ ووقت البدء
Start Date / تاريخ البداية,تاريخ البداية
Start Onboarding,ابدأ الجولة التعريفية
Start Time,وقت البدء
Start Trial,ابدأ التجربة
Start — البداية,البداية
"Startup desks, mentoring rooms, pitch halls. Milestone-based memberships, investor events, CRM pipeline for startups.",مكاتب الشركات الناشئة، غرف الإرشاد، قاعات العروض. عضويات مبنية على الإنجازات، فعاليات المستثمرين، مسار CRM للشركات الناشئة.
State / المنطقة,المنطقة
Statistics,الإحصائيات
Status,الحالة
Status / الحالة,الحالة
Status is Converted but no customer linked,الحالة محولة لكن لا يوجد عميل مرتبط
Streak,تتابع
Stripe,سترايب
Stripe Configuration,إعدادات Stripe
Stripe Publishable Key,مفتاح Stripe العام
Stripe Python library is not installed. Run: pip install stripe,مكتبة Stripe غير مثبتة. نفذ: pip install stripe
Stripe Secret Key,مفتاح Stripe السري
Stripe Webhook Secret,سر Webhook لـ Stripe
"Studio bookings, class scheduling, personal training rooms. Membership + day-pass model with automated renewals.",حجز الاستوديوهات، جدولة الحصص، غرف التدريب الشخصي. نموذج عضوية + تصريح يوم مع تجديدات تلقائية.
Submit,اعتماد
Subscribe,اشتراك
Subscribe to {0},الاشتراك في {0}
Success Color,لون النجاح
Successfully checked in!,تم تسجيل الدخول بنجاح!
Successfully registered for {0},تم التسجيل بنجاح في {0}
Summary (max 200 chars),الملخص (200 حرف كحد أقصى)
Summary must be 200 characters or less,الملخص يجب ألا يتجاوز 200 حرف
Sun,الأحد
Sunday,الأحد
Suspend,تعليق
Suspended,موقف
Syllabus,المنهج
Syllabus / Content Outline,المنهج / مخطط المحتوى
Tags / الوسوم,الوسوم
Tap,تاب
Tap Configuration,إعدادات Tap
Tap Publishable Key,مفتاح Tap العام
Tap Secret Key,مفتاح Tap السري
Tap secret key is not configured in ARKSpace Settings,مفتاح Tap السري غير مكوّن في إعدادات أرك سبيس
Tap Webhook Secret,سر Webhook لـ Tap
Target Branch,الفرع المستهدف
Target branch {0} not found,الفرع المستهدف {0} غير موجود
Tax Card / البطاقة الضريبية,البطاقة الضريبية
Team Size,حجم الفريق
Technical,تقنية
Template Name,اسم النموذج
Template Variables,متغيرات القالب
Terminated / منهي,منهي
Terms (Arabic) / الشروط بالعربية,الشروط بالعربية
Terms (English),الشروط بالإنجليزية
Terms (English) / الشروط بالإنجليزية,الشروط بالإنجليزية
Terms populated from template,تم تعبئة الشروط من القالب
Territory,المنطقة
The day pass amount ({0}) will be applied as credit.,سيتم تطبيق مبلغ التصريح ({0}) كرصيد.
The name of your co-working space brand,اسم العلامة التجارية لمساحة العمل
This booking has already ended,انتهى هذا الحجز بالفعل
This booking has been cancelled,تم إلغاء هذا الحجز
This day pass has already been converted,تم تحويل هذا التصريح بالفعل
This day pass is not valid today,هذا التصريح غير صالح اليوم
This event is full,هذه الفعالية ممتلئة
This will overwrite current contract terms. Continue?,سيتم استبدال شروط العقد الحالية. متابعة؟
Thu,الخميس
Thursday,الخميس
Tiered Memberships & Auto-Renewal,عضويات بمستويات وتجديد تلقائي
Time,الوقت
Time Range,نطاق الوقت
Time Range condition requires both start and end times,شرط نطاق الوقت يتطلب وقت البداية والنهاية
Timestamps,التوقيتات
Timezone,المنطقة الزمنية
Timezone / المنطقة الزمنية,المنطقة الزمنية
Title / العنوان,العنوان
Title / المسمى الوظيفي,المسمى الوظيفي
To,إلى
To / إلى,إلى
To Date,إلى تاريخ
To Member / إلى العضو,إلى العضو
To Member Name / اسم العضو المستقبل,اسم العضو المستقبل
Today's Bookings,حجوزات اليوم
Today's Visitors,زوار اليوم
"Today: {0} passes, {1} checked in, {2} checked out, Revenue: {3}",اليوم: {0} تصاريح، {1} مسجل دخول، {2} مسجل خروج، الإيرادات: {3}
Too early to check in. Your booking starts at {0},مبكر جداً للتسجيل. حجزك يبدأ في {0}
Top-up Methods,طرق الشحن
Total,الإجمالي
total,إجمالي
Total Amount,المبلغ الإجمالي
Total Awarded,إجمالي الممنوحة
Total Bookings,إجمالي الحجوزات
Total Bookings / إجمالي الحجوزات,إجمالي الحجوزات
Total Credits,إجمالي الرصيد
Total Desks / إجمالي المكاتب,إجمالي المكاتب
Total Earned,إجمالي المكتسب
Total Enrollments,إجمالي التسجيلات
Total Invoices,إجمالي الفواتير
Total Meeting Rooms / إجمالي غرف الاجتماعات,إجمالي غرف الاجتماعات
Total Offices / إجمالي المكاتب الخاصة,إجمالي المكاتب الخاصة
Total Paid,إجمالي المدفوع
Total Revenue,إجمالي الإيرادات
Total Revenue / إجمالي الإيرادات,إجمالي الإيرادات
Total Sessions,إجمالي الجلسات
Total Spaces,إجمالي المساحات
Total Spaces / إجمالي المساحات,إجمالي المساحات
Total Spent,إجمالي الإنفاق
Tour,جولة
Tour / Visit,جولة / زيارة
Tour Feedback,ملاحظات الجولة
Tour Scheduled,جولة مجدولة
Tour Scheduling,جدولة الجولات
Tours,الجولات
Tours — الجولات,الجولات
Track attendance and completion status for each participant.,تتبع حضور وحالة إكمال كل مشارك.
Track document versions to ensure members always agree to the latest terms.,تتبع إصدارات المستندات لضمان موافقة الأعضاء دائماً على أحدث الشروط.
Track each member's progress through training modules and sessions.,تتبع تقدم كل عضو في وحدات وجلسات التدريب.
Track performance metrics,تتبع مؤشرات الأداء
Track prospective members from inquiry to tour to conversion.,تتبع الأعضاء المحتملين من الاستفسار إلى الجولة إلى التحويل.
Track which legal documents each member has acknowledged and signed.,تتبع المستندات القانونية التي أقر بها كل عضو ووقّعها.
Traditional Co-Working,مساحات العمل المشتركة التقليدية
Training Badge,شارة تدريبية
Training Badges — شارات التدريب,شارات التدريب
Training Catalog,كتالوج التدريب
Training Module,وحدة تدريبية
Training Modules — وحدات التدريب,وحدات التدريب
Training Progress — تقدم التدريب,تقدم التدريب
Training Session,جلسة تدريبية
Training Sessions,جلسات التدريب
Training — التدريب,التدريب
Transaction Log,سجل المعاملات
Transactions,المعاملات
Transfer,نقل
Transfer Branch,نقل فرع
Transfer members and bookings between branches seamlessly.,انقل الأعضاء والحجوزات بين الفروع بسلاسة.
Transfer Membership,نقل العضوية
Trend Analysis,تحليل الاتجاهات
Trial,تجربة
Trial / تجربة,تجربة
Trial Conversions / تحويلات التجربة,تحويلات التجربة
Trial Days / أيام التجربة,أيام التجربة
Trial Days Remaining,أيام التجربة المتبقية
Trial Includes Benefits / التجربة تشمل المزايا,التجربة تشمل المزايا
Trial Plan,خطة التجربة
Trial Price / سعر التجربة,سعر التجربة
Trial Started!,بدأت التجربة!
Try Before You Join,جرّب قبل الانضمام
Try changing your filters or check back later.,حاول تغيير الفلاتر أو تحقق لاحقاً.
Tue,الثلاثاء
Tuesday,الثلاثاء
Tutorial,دليل تعليمي
Type,النوع
Type / النوع,النوع
Unassigned,غير مخصص
Under Maintenance,تحت الصيانة
Underline Links,تسطير الروابط
Unit / Space Details / بيانات الوحدة,بيانات الوحدة
Unit Description / وصف الوحدة,وصف الوحدة
University / Training Centers,الجامعات / مراكز التدريب
Unknown error,خطأ غير معروف
Unlike,إلغاء الإعجاب
Unlike ❤️,إلغاء الإعجاب ❤️
Unliked,تم إلغاء الإعجاب
Unpin,إلغاء التثبيت
Unpin Post,إلغاء تثبيت المنشور
Unsupported payment gateway: {0},بوابة دفع غير مدعومة: {0}
Up to {0} guests,حتى {0} ضيوف
Upcoming,قادمة
Upcoming Bookings,الحجوزات القادمة
Upcoming Events,الفعاليات القادمة
Upgrade,ترقية
Upgrade Membership,ترقية العضوية
Upgrade Now,رقِّ الآن
upgraded,مرقّى
Upgraded to {0}!,تمت الترقية إلى {0}!
Upload multiple images for each space to showcase in the portal and booking screen.,ارفع صوراً متعددة لكل مساحة لعرضها في البوابة وشاشة الحجز.
"Use Jinja variables for member name, dates, pricing, and space details — auto-filled at contract creation.",استخدم متغيرات Jinja لاسم العضو والتواريخ والتسعير وتفاصيل المساحة — تُملأ تلقائياً عند إنشاء العقد.
Used,المستخدم
Used Credits,الرصيد المستخدم
User,المستخدم
User & role management,إدارة المستخدمين والأدوار
User Training Progress,تقدم المتدرب
User {0} is already enrolled in {1},المستخدم {0} مسجل بالفعل في {1}
Utilization %,نسبة الاستخدام %
Valid / ساري,ساري
Valid From,صالح من
Valid To,صالح حتى
Valid Today Only,صالحة اليوم فقط
Validity,الصلاحية
Venue,المكان
Venue Name,اسم المكان
Verify with Gateway,تحقق من البوابة
Verifying payment with gateway...,جارٍ التحقق من الدفع مع البوابة...
Version,الإصدار
Version Control,التحكم بالإصدارات
View,عرض
View Analytics,عرض التحليلات
View Attendees,عرض الحضور
View Bookings,عرض الحجوزات
"View completion percentage, time spent, and badges earned per member.",اعرض نسبة الإتمام والوقت المستغرق والشارات المكتسبة لكل عضو.
View Details,عرض التفاصيل
View Members,عرض الأعضاء
View Memberships,عرض العضويات
View Plans,عرض الخطط
View Spaces,عرض المساحات
View Wallet,عرض المحفظة
Views Count / عدد المشاهدات,عدد المشاهدات
Virtual Office,مكتب افتراضي
Virtual Office — مكتب افتراضي,مكتب افتراضي
"Visit the About page for a full app overview, or start the Onboarding wizard.",زر صفحة نبذة عن التطبيق للحصول على نظرة شاملة، أو ابدأ معالج الإعداد.
Visiting Branch,الفرع المُزار
Visiting Space,المساحة المُزارة
Visitor,زائر
VISITOR,زائر
Visitor approved,تمت الموافقة على الزائر
Visitor arrival notification error,خطأ في إشعار وصول الزائر
VISITOR BADGE,شارة الزائر
Visitor Company,شركة الزائر
Visitor Count / عدد الزوار,عدد الزوار
Visitor Email,بريد الزائر الإلكتروني
Visitor has been approved,تمت الموافقة على الزائر
Visitor has been rejected,تم رفض الزائر
Visitor Image,صورة الزائر
Visitor is already approved,الزائر تمت الموافقة عليه بالفعل
Visitor is already checked in,الزائر مسجل الدخول بالفعل
Visitor is not checked in,الزائر غير مسجل دخول
Visitor is not in a state that allows check-in,الزائر ليس في حالة تسمح بتسجيل الدخول
Visitor Log,سجل الزوار
Visitor management,إدارة الزوار
Visitor Management,إدارة الزوار
Visitor must be checked in before checking out,يجب تسجيل دخول الزائر قبل تسجيل الخروج
Visitor Name,اسم الزائر
Visitor notification error,خطأ في إشعار الزائر
Visitor Phone,هاتف الزائر
Visitor Pre-registered: {0},زائر مسجل مسبقاً: {0}
Visitor rejected,تم رفض الزائر
Visitor {0} is already checked in,الزائر {0} مسجل دخول بالفعل
Visitors,الزوار
Visitors Today,زوار اليوم
Visitors — الزوار,الزوار
vs Last Week,مقارنة بالأسبوع الماضي
Walk In,زيارة مباشرة
Walk-in,حضور مباشر
Wallet,محفظة
Wallet Balance,رصيد المحفظة
Webhook-based automatic reconciliation keeps your invoices and payments in sync.,المطابقة التلقائية عبر Webhook تبقي فواتيرك ومدفوعاتك متزامنة.
Webhook: No payment reference,إشعار الدفع: لا يوجد مرجع دفع
Webhook: Payment not found,إشعار الدفع: الدفعة غير موجودة
Website,الموقع الإلكتروني
Website / الموقع الإلكتروني,الموقع الإلكتروني
Wed,الأربعاء
Wednesday,الأربعاء
Weekend,عطلة نهاية الأسبوع
Weekly,أسبوعي
Welcome,مرحباً
Welcome aboard! 🎉 مرحباً بك!,مرحباً بك! 🎉
Welcome to ARKSpace,مرحباً بك في آرك سبيس
Welcome to ARKSpace — {{ doc.membership_plan }},مرحباً بكم في أرك سبيس — {{ doc.membership_plan }}
Welcome to ARKSpace — مرحباً بكم,مرحباً بكم في أرك سبيس
Welcome to ARKSpace!,مرحباً بك في ARKSpace!
Welcome! Your trial day pass has been created.,مرحباً! تم إنشاء تصريح التجربة الخاص بك.
Wellness,صحة ورفاهية
